Time,Noisy Data
0.000000000000000000e+00,1.037253561475842467e+00
2.525252525252525207e-02,9.646938301533215521e-01
5.050505050505050414e-02,9.993257672544859638e-01
7.575757575757575968e-02,1.041268155743195312e+00
1.010101010101010083e-01,8.863623991910322131e-01
1.262626262626262708e-01,8.638230702008932171e-01
1.515151515151515194e-01,9.778458220515636734e-01
1.767676767676767680e-01,8.955320475279268111e-01
2.020202020202020166e-01,7.818678421956100077e-01
2.272727272727272652e-01,8.373954731624090320e-01
2.525252525252525415e-01,7.420802685449410241e-01
2.777777777777777901e-01,7.225353968791972115e-01
3.030303030303030387e-01,7.567238852862505638e-01
3.282828282828282873e-01,5.766632911289550911e-01
3.535353535353535359e-01,5.728323294169755941e-01
3.787878787878787845e-01,6.425192700201101115e-01
4.040404040404040331e-01,5.916548122687484978e-01
4.292929292929292817e-01,6.745377632425373360e-01
4.545454545454545303e-01,5.666346132761910237e-01
4.797979797979797789e-01,5.129856335796078026e-01
5.050505050505050830e-01,7.133987537862760409e-01
5.303030303030302761e-01,5.714934090218302121e-01
5.555555555555555802e-01,5.788180360890270437e-01
5.808080808080807733e-01,4.525899922309678525e-01
6.060606060606060774e-01,5.046668594808547681e-01
6.313131313131312705e-01,5.402120912409054121e-01
6.565656565656565746e-01,4.323049127215746190e-01
6.818181818181817677e-01,5.338740588133978893e-01
7.070707070707070718e-01,4.480385769892494263e-01
7.323232323232322649e-01,4.589136718363355238e-01
7.575757575757575690e-01,4.236735432230305243e-01
7.828282828282827621e-01,5.960322050029263075e-01
8.080808080808080662e-01,4.447003621701725584e-01
8.333333333333333703e-01,3.552698888353856832e-01
8.585858585858585634e-01,4.854517850694152759e-01
8.838383838383838675e-01,3.216305935412496764e-01
9.090909090909090606e-01,4.185550911544896890e-01
9.343434343434343647e-01,2.458684492732737814e-01
9.595959595959595578e-01,2.834336677616659528e-01
9.848484848484848619e-01,3.882604056146051752e-01
1.010101010101010166e+00,4.195671851332707369e-01
1.035353535353535248e+00,3.679534391268016180e-01
1.060606060606060552e+00,3.375722795479533245e-01
1.085858585858585856e+00,3.150290155403946968e-01
1.111111111111111160e+00,2.183038385303485152e-01
1.136363636363636243e+00,2.669958015191495337e-01
1.161616161616161547e+00,2.784320379169752391e-01
1.186868686868686851e+00,3.844595360933784622e-01
1.212121212121212155e+00,3.233367818651999293e-01
1.237373737373737459e+00,1.579172040957015355e-01
1.262626262626262541e+00,3.072163515971355063e-01
1.287878787878787845e+00,2.469741395144210427e-01
1.313131313131313149e+00,2.182073367057366098e-01
1.338383838383838453e+00,3.081449173142194464e-01
1.363636363636363535e+00,3.330541241002969444e-01
1.388888888888888840e+00,3.191982177110110896e-01
1.414141414141414144e+00,1.801929612677689585e-01
1.439393939393939448e+00,2.138804665959953000e-01
1.464646464646464530e+00,2.560044575146115386e-01
1.489898989898989834e+00,2.985613061380985034e-01
1.515151515151515138e+00,1.838368152618568563e-01
1.540404040404040442e+00,2.003700770467084780e-01
1.565656565656565524e+00,1.259756551709897976e-01
1.590909090909090828e+00,1.140248122496568955e-01
1.616161616161616132e+00,2.595992066380355956e-01
1.641414141414141437e+00,2.954239230912368286e-01
1.666666666666666741e+00,1.834748437190368009e-01
1.691919191919191823e+00,2.594307025583835191e-01
1.717171717171717127e+00,2.066960163685165885e-01
1.742424242424242431e+00,1.267114303660176189e-01
1.767676767676767735e+00,1.978338423784338496e-01
1.792929292929292817e+00,2.818245525309096000e-01
1.818181818181818121e+00,1.596336582486018174e-01
1.843434343434343425e+00,2.756212022402009243e-01
1.868686868686868729e+00,-4.215470344821195536e-02
1.893939393939393812e+00,2.121205359870466656e-01
1.919191919191919116e+00,1.532540104003143056e-01
1.944444444444444420e+00,1.206411314694681436e-01
1.969696969696969724e+00,1.463811805122366971e-01
1.994949494949494806e+00,-1.304714487827268732e-02
2.020202020202020332e+00,1.161532771152496424e-01
2.045454545454545414e+00,1.561048370271868324e-01
2.070707070707070496e+00,2.369386443265536490e-01
2.095959595959596022e+00,8.408193621980913912e-02
2.121212121212121104e+00,5.924920355331188271e-02
2.146464646464646631e+00,7.926492099397350333e-02
2.171717171717171713e+00,1.826368814042396427e-01
2.196969696969696795e+00,1.357957679857300093e-01
2.222222222222222321e+00,6.863600793936794342e-02
2.247474747474747403e+00,1.441607780465823940e-01
2.272727272727272485e+00,1.103116196628672330e-01
2.297979797979798011e+00,1.731099658582510581e-01
2.323232323232323093e+00,4.530246439396049679e-02
2.348484848484848619e+00,7.093910947539013023e-02
2.373737373737373701e+00,6.372389443686435340e-02
2.398989898989898784e+00,-1.895398722871043107e-02
2.424242424242424310e+00,1.107541940961319776e-01
2.449494949494949392e+00,1.059163255398713754e-01
2.474747474747474918e+00,8.456775546958381073e-02
2.500000000000000000e+00,6.449096362076278677e-02
